Conference Code,Name,Abbrev,Subdivision
821,Atlantic Coast Conference,ACC,FBS
25354,Big 12 Conference,Big 12,FBS
823,Big East Conference,Big East,FBS
827,Big Ten Conference,Big 10,FBS
24312,Conference USA,C-USA,FBS
99001,Independent,Ind,FBS
875,Mid-American Conference,MAC,FBS
5486,Mountain West Conference,Mt. West,FBS
905,Pacific-12 Conference,Pac-12,FBS
911,Southeastern Conference,SEC,FBS
818,Sun Belt Conference,Sun Belt,FBS
923,Western Athletic Conference,WAC,FBS
820,Atlantic 10,A-10,FCS
825,Big Sky,BSC,FCS
826,Big South,Big so,FCS
853,Gateway Football Conference,MVFC,FCS
99005,Ind,Ind,FCS
865,Ivy,Ivy,FCS
871,Metro Atlantic,MAAC,FCS
876,Mid-Eastern,MEAC,FCS
846,Northeast,NEC,FCS
902,Ohio Valley,OVC,FCS
838,Patriot,Patriot,FCS
21451,Pioneer Football League,PFL,FCS
912,Southern,SoCon,FCS
914,Southland,SLC,FCS
916,Southwestern,SWAC,FCS
100,American Athletic Conference,AAC,
,,,
,,,
,,,
